perm,amplitude_2cp,time_shift_2cp
1e-07,0.012402179274412164,-73.4598615025833
1.4677992676220706e-07,0.017055526891537096,-74.0640041769076
2.1544346900318822e-07,0.023526287229631265,-74.49664852816166
3.162277660168379e-07,0.03253564210517706,-74.72157271815463
4.641588833612782e-07,0.04508685053498302,-74.68663820454942
6.812920690579608e-07,0.06256524571646303,-74.31766030926015
1e-06,0.08685755690932945,-73.51086366006054
1.4677992676220675e-06,0.1204679404715751,-72.12459700949222
2.1544346900318822e-06,0.16655835018846812,-69.97296147957714
3.162277660168379e-06,0.22873031016768877,-66.82862321336594
4.641588833612773e-06,0.3101765751193593,-62.450815052894114
6.8129206905796085e-06,0.4117064036490434,-56.664373738174596
1e-05,0.5287235716595214,-49.50563143235252
1.4677992676220675e-05,0.6493808881674192,-41.37765020523894
2.1544346900318823e-05,0.7579408121916213,-33.04272702402507
3.1622776601683795e-05,0.8429081868375189,-25.34092144671562
4.641588833612772e-05,0.9020483591055006,-18.83839804811922
6.812920690579608e-05,0.9400081568574895,-13.706430188397693
0.0001,0.9633005666504123,-9.834725108250078
0.0001467799267622069,0.9773463507900684,-6.994980590945559
0.00021544346900318823,0.9858211490426263,-4.9474920740359885
0.00031622776601683794,0.9909900621973029,-3.4865195724079774
0.00046415888336127773,0.9941920491496417,-2.4507881522612487
0.0006812920690579609,0.9962090995497899,-1.7196002801332955
0.001,0.9975000320063684,-1.204881000884604
